,user_id,id,uri,title,price,content,imgs,refresh,category,beds,livings,wc,area,type,street_width,age,last_update,street_direction,ketchen,ac,furnished,location,path,user,native,rent_period,city,district,width,length,advertiser_type,create_time,__typename
0,917665,4409364,شارع-وادي-السرح-حي-الخالدية-الرياض-الرياض-4409364,شقة للبيع في شارع وادي السرح ، حي الخالدية ، الرياض ، الرياض,220000,"جديد لم يسكن من ٥ سنوات
٢ غرفة 
٢ حمام 
٢ منور كمستودع صغير
مطبخ وصالة 
عداد الكهرباء مستقل
صك مستقل الافراغ فوري
يوجد ٥ شقق مثل بعض
هذه الشقة للعرض فقط والبيع لمثلها","['009176652_1654896405651.jpg', '009176656_1654896405671.jpg', '009176659_1654896405648.jpg', '009176650_1654896405655.jpg', '009176654_1654896405662.jpg', '009176653_1654896405819.jpg', '009176650_1654896405831.jpg', '009176657_1654896405840.jpg', '009176655_1654896405850.jpg']",1660211997,6,2,1,2,75,,20.0,6.0,1660211997,2,0,,0,"{'lat': 24.616873, 'lng': 46.758713, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-الخالدية/شارع-وادي-السرح-حي-الخالدية-الرياض-الرياض-4409364,"{'review': 5, 'img': None, 'name': 'عبدالله محمد الدبيخي ', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي الخالدية,8.0,9.0,owner,1654896569,ElasticWebListing
1,189807,3155707,حي-شارع-ابن-دواس-حي-المنصورة-الرياض-الرياض-3155707,شقة للبيع في حي ، شارع ابن دواس ، حي المنصورة ، الرياض ، الرياض,420000,شقه مكونه من 3 غرف وصاله ومطبخ و2 دورات مياه مع السطح في فله وليس مجمع شقق خزانات مياه مستقله مع دينمو مستقل وعدا. كهربا مستقل بصك مستقل قريبه من الخدمات والشارع الرئيسي,"['001898073_1647449153097.jpg', '001898072_1649194712858.jpg', '001898075_1649194712854.jpg', '001898072_1649194712870.jpg', '001898072_1649194712976.jpg', '001898078_1649194712984.jpg', '001898070_1649194712987.jpg', '001898070_1649194712993.jpg', '001898072_1649194713113.jpg', '001898075_1649194713115.jpg']",1655995384,6,3,1,2,105,,15.0,0.0,1655995384,4,1,,0,"{'lat': 24.612467, 'lng': 46.746884, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-المنصورة/حي-شارع-ابن-دواس-حي-المنصورة-الرياض-الرياض-3155707,"{'review': 4.61, 'img': '507160707_1508317833072.jpg', 'name': 'مؤسسة بناء الاجداد العقارية', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي المنصورة,,,exclusive_marketer,1619290644,ElasticWebListing
2,1792413,4438598,شارع-الامام-تركي-بن-عبدالله-بن-محمد-حي-الديرة-الرياض-الرياض-4438598,شقة للبيع في شارع الامام تركي بن عبدالله بن محمد ، حي الديرة ، الرياض ، الرياض,141000,"السلام عليكم 
اعرض لكم عدد 5 شقق في حي الديره شارع الامام تركي بن عبدالله بن محمد مقابل سوق المعيقليه بمساحات مختلفه تبدأ من 80 حتى 121 متر مربع 
شقه رقم 20 بمساحه 80 متر مربع السعر 141,000 الف ريال 
شقه رقم 16 بمساحه 109 متر مربع السعر 194,000 الف ريال
شقة رقم 19 بمساحه 106 متر مربع السعر 189,000 الف ريال
شقه رقم 18 بمساحه 87 متر مربع السعر 155,000 الف ريال 
شقه رقم 17 بمساحه 121 متر مربع السعر 215,000 الف ريال","['017924138_1655559271902.jpg', '017924135_1655559271900.jpg', '017924137_1655559271902.jpg', '017924132_1655559271900.jpg', '017924138_1655559271925.jpg', '017924130_1655559271903.jpg', '017924136_1657973838415.jpg']",1659596751,6,4,1,2,80,,6.0,15.0,1659957807,7,1,,0,"{'lat': 24.631554, 'lng': 46.707855, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-الديرة/شارع-الامام-تركي-بن-عبدالله-بن-محمد-حي-الديرة-الرياض-الرياض-4438598,"{'review': 5, 'img': None, 'name': 'Faisal', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي الديرة,10.0,8.0,agent,1655560028,ElasticWebListing
3,2042665,4179425,حي-الصوارى-جدة-جدة-4179425,شقة للبيع في حي الصوارى ، جدة ، جدة,850000,"شق ق فاخرة للتمليك ابحر الشمالية 
حي الصواري

المساحة 232م :

6 غرف صاله كبيرة
5 دوارت مياه
مطبخ و مطبخ داخلي 
غرفة غسيل
غرفة خادمة 
غرفة سائق

المميزات /
موقف سيارة
خزان مستقل سفلي و علوي
سمارت هوم
كاميرات مراقبة

للاستفسار التواصل على الرقم

0533111176 / 0538444450","['020426654_1648375852358.jpg', '020426658_1648375852335.jpg', '020426654_1648375852336.jpg', '020426654_1648375852360.jpg', '020426654_1648375852345.jpg', '020426658_1648375852365.jpg', '020426659_1648375852351.jpg', '020426650_1648375912414.jpg', '020426658_1648375996221.jpg', '020426654_1648375996249.jpg', '020426657_1648375996231.jpg', '020426651_1648375996233.jpg']",0,6,6,1,5,232,,20.0,0.0,1660244991,1,1,,0,"{'lat': 21.787928, 'lng': 39.101654, '__typename': 'Location'}",/شقق-للبيع/جدة/شمال-جدة/حي-الصوارى/حي-الصوارى-جدة-جدة-4179425,"{'review': 5, 'img': '560929997_1649339217532.jpg', 'name': 'شركة اتحاد الماسة', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}","{'logo': '001580685_1655234375387.jpg', 'title': 'شقق للبيع، أبحر الشمالية في تمليك الماسة', 'image': None, 'description': 'تملك منزل احلامك بأبحر الشمالية في تمليك الماسة, أناقة التصميم ورقي المكان', 'external_url': None, '__typename': 'WebNativeListing'}",,جدة,حي الصوارى,20.0,11.0,owner,1648376729,ElasticWebListing
4,971687,4449099,شارع-السليل-حي-ام-سليم-الرياض-الرياض-4449099,شقة للبيع في شارع السليل ، حي ام سليم ، الرياض ، الرياض,335878,"شقق للبيع ب مساحات مختلفه تشطيب راقي ادوار مختلفه
للتواصل أ / عهود 0504106051
أ / عبدالله 0544488896
أ/ انس 0533006179
أ / محمد 0554096150","['009716870_1655765957768.jpg', '009716872_1655765957813.jpg', '009716879_1655765957768.jpg', '009716873_1655765957805.jpg', '009716875_1655765957812.jpg', '009716875_1655765957804.jpg', '009716879_1655765957811.jpg', '009716878_1655765957799.jpg', '009716877_1655765985769.jpg', '009716873_1655765985775.jpg', '009716878_1655765985783.jpg', '009716879_1655765985752.jpg', '009716879_1655765985766.jpg', '009716878_1655765985785.jpg', '009716870_1655765985788.jpg', '009716878_1655765985775.jpg', '009716874_1655766004083.jpg', '009716879_1655766527454.jpg', '009716871_1655766527522.jpg', '009716873_1655766527482.jpg', '009716870_1655766527454.jpg', '009716872_1655766527482.jpg', '009716877_1655766527513.jpg', '009716876_1655766527450.jpg', '009716874_1655766527450.jpg', '009716871_1655766550621.jpg', '009716877_1655766550681.jpg', '009716877_1655766550668.jpg', '009716879_1655766550646.jpg', '009716878_1655766550643.jpg']",1660048391,6,3,1,2,119,,20.0,0.0,1660048391,6,1,,0,"{'lat': 24.63596, 'lng': 46.694862, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-ام-سليم/شارع-السليل-حي-ام-سليم-الرياض-الرياض-4449099,"{'review': 4.67, 'img': '500051679_1641602095665.jpg', 'name': 'شركة محمد عبدالرحمن القاسم العقارية', 'phone': 0, 'iam_verified': True, 'rega_id': '7769347', '__typename': 'ListingUser'}",,,الرياض,حي ام سليم,10.0,11.0,agent,1655766433,ElasticWebListing
5,182786,4250316,طريق-الملك-فيصل-حي-المربع-الرياض-الرياض-4250316,شقة للبيع في طريق الملك فيصل ، حي المربع ، الرياض ، الرياض,650000,"شقه للبيع حي المربع مقسومه شقتين 
مؤجره ب 42000","['002391702_1650789444487.jpg', '002391704_1650789444531.jpg', '002391707_1650789444517.jpg', '002391700_1650789444546.jpg', '002391707_1650789444537.jpg', '002391700_1650789444547.jpg', '002391701_1650789444546.jpg', '002391706_1650789444554.jpg', '002391700_1650789473266.jpg', '002391702_1650789473276.jpg', '002391700_1650850310558.jpg', '002391704_1650850310567.jpg', '002391707_1650850310564.jpg', '002391705_1650850310562.jpg']",1660236114,6,5,1,4,172,,12.0,10.0,1660236114,2,1,,0,"{'lat': 24.659906, 'lng': 46.705166, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-المربع/طريق-الملك-فيصل-حي-المربع-الرياض-الرياض-4250316,"{'review': 4.54, 'img': '', 'name': 'مكتب أعمال اليسر للعقارات', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي المربع,,,exclusive_marketer,1650275746,ElasticWebListing
6,471572,4198201,شارع-الفرزدق-حي-العمل-الرياض-الرياض-4198201,شقة للبيع في شارع الفرزدق ، حي العمل ، الرياض ، الرياض,360000,"مكاتب للبيع
مبنى تجاري/ مكتبي  -  شارع الفرزدق - حي العمل
المميزات والمواصفات  :
* يوجد ارض تجارية مرخصة من البلدية صراف آلي سيار معروضة للإيجار للبنوك واجرتها توزع على جميع الملاك وهذه ميزة إضافية للملاك   * يوجد جمعية ملاك مرخصة من وزارة الإسكان للمحافظة على العقار   * المبنى يقع على أربع شوارع   * صكوك مستقلة   * قبو مواقف سيارات   * عداد كهرباء لكل مكتب * مصعد   * نظام مكافحة الحريق   * خزانات ماء كبيرة   * خدمة حراسة و نظافة  * مدارس بنين وبنات جميع المراحل   * يقع وسط أسواق الجملة لعدة سلع وخدمات   * تنوع في المساحات   * تنوع في نشاطات المستاجرين   * وغيرها كثيير
يتوسط المواقع الهامة التالية  :
شمالا : حي الملز حيث الوزارات و الدوائر الحكومية و الأهلية
جنوبا : سوق العدد ومواد البناء بشارع الريل ، أسواق البطحاء
غربا : سوق جملة الكهرباء ، سوق الغرابي لقطع غيار وزينة السيارات ، مجمعات البطحاء التجارية .
شرقا : الصناعية القديمة ، محطة القطار ، الميناء الجاف

أسعار البيع تبدأ من  360  ألف ريال صافي
الإيجارات من 25  إلى 45 ألف ريال سنوي
المساحات من  62 م2  إلى  84 م2
المالك المطور 0505475939  /  0542478434
رقم المعلن  3063573","['004715723_1648868251882.jpg', '004715727_1648868251885.jpg', '004715722_1648868251880.jpg', '004715720_1648868251879.jpg', '004715729_1648868251880.jpg', '004715721_1648868252003.jpg', '004715723_1648868252005.jpg', '004715721_1648868252011.jpg', '004715726_1648868252012.jpg', '004715727_1648868252138.jpg', '004715729_1648868252127.jpg', '004715724_1648868252153.jpg', '004715721_1648868252177.jpg', '004715721_1648868252265.jpg', '004715724_1648868252266.jpg']",1660012492,6,1,1,1,65,,30.0,7.0,1660012492,6,1,,0,"{'lat': 24.645315, 'lng': 46.724451, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-العمل/شارع-الفرزدق-حي-العمل-الرياض-الرياض-4198201,"{'review': 4.66, 'img': None, 'name': 'مكتب مقبل عبدالرحمن المهباش للعقارات', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي العمل,,,owner,1648868911,ElasticWebListing
7,126219,4481013,حي-طريق-الملك-فيصل-حي-المربع-الرياض-الرياض-4481013,شقة للبيع في حي ، طريق الملك فيصل ، حي المربع ، الرياض ، الرياض,600000,"شقة موقع ممتاز بجوار الجوازات وشارع الضباب 
للبيع 
ثلاث غرف وثلاث دورات مياه 
مواقف في القبو 
للتواصل مكتب الرماح","['001262199_1656516894869.jpg', '001262199_1656516779474.jpg', '001262197_1656516779516.jpg', '001262194_1656516779500.jpg', '001262198_1656516779504.jpg', '001262191_1656516779503.jpg', '001262191_1656516779508.jpg', '001262190_1656516779483.jpg', '001262198_1656952843187.jpg', '001262191_1656952843212.jpg', '001262198_1656952843188.jpg', '001262193_1656952843219.jpg', '001262194_1656952843195.jpg', '001262193_1656952843149.jpg', '001262192_1656952843220.jpg', '001262198_1656952843176.jpg']",1658673402,6,3,1,3,131,,30.0,25.0,1658673402,8,1,,0,"{'lat': 24.661322, 'lng': 46.703346, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-المربع/حي-طريق-الملك-فيصل-حي-المربع-الرياض-الرياض-4481013,"{'review': 4.34, 'img': '500077876_1635790445513.jpg', 'name': 'مكتب الرماح للعقارات تسعدنا خدمتكم', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي المربع,8.0,16.0,normal_marketer,1656517071,ElasticWebListing
8,259606,4479272,الرياض-حي-اليمامة-الرياض-4479272,شقة للبيع في الرياض ، حي اليمامة ، الرياض,260000,"شقة  للبيع بحي اليمامه 
شارع الحجاز خلف بنك الراجحي
صاله وغرفتين 
مطبخ
و ٢ دورة مياه","['002596062_1656481412574.jpg', '002596063_1656481412623.jpg', '002596065_1656481412653.jpg', '002596065_1656481412783.jpg', '002596066_1656481412763.jpg', '002596062_1656481412601.jpg', '002596065_1656481412668.jpg']",1659939914,6,2,1,2,99,,14.0,13.0,1659939914,2,1,,0,"{'lat': 24.601104, 'lng': 46.711683, '__typename': 'Location'}",/شقق-للبيع/الرياض/وسط-الرياض/حي-اليمامة/الرياض-حي-اليمامة-الرياض-4479272,"{'review': 4.5, 'img': None, 'name': 'فيصل', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي اليمامة,10.0,10.0,owner,1656481175,ElasticWebListing
